rawdate,datestring,fulltime,timestring,,
2017/1/1,20170101,上午 12:00:00,0000,,
2017/1/2,20170102,上午 12:05:00,0005,,
2017/1/3,20170103,上午 12:10:00,0010,,
2017/1/4,20170104,上午 12:15:00,0015,,
2017/1/5,20170105,上午 12:20:00,0020,,
2017/1/6,20170106,上午 12:25:00,0025,,
2017/1/7,20170107,上午 12:30:00,0030,,
2017/1/8,20170108,上午 12:35:00,0035,,
2017/1/9,20170109,上午 12:40:00,0040,,
2017/1/10,20170110,上午 12:45:00,0045,,
2017/1/11,20170111,上午 12:50:00,0050,,
2017/1/12,20170112,上午 12:55:00,0055,,
2017/1/13,20170113,上午 01:00:00,0100,,
2017/1/14,20170114,上午 01:05:00,0105,,
2017/1/15,20170115,上午 01:10:00,0110,,
2017/1/16,20170116,上午 01:15:00,0115,,
2017/1/17,20170117,上午 01:20:00,0120,,
2017/1/18,20170118,上午 01:25:00,0125,,
2017/1/19,20170119,上午 01:30:00,0130,,
2017/1/20,20170120,上午 01:35:00,0135,,
2017/1/21,20170121,上午 01:40:00,0140,,
2017/1/22,20170122,上午 01:45:00,0145,,
2017/1/23,20170123,上午 01:50:00,0150,,
2017/1/24,20170124,上午 01:55:00,0155,,
2017/1/25,20170125,上午 02:00:00,0200,,
2017/1/26,20170126,上午 02:05:00,0205,,
2017/1/27,20170127,上午 02:10:00,0210,,
2017/1/28,20170128,上午 02:15:00,0215,,
2017/1/29,20170129,上午 02:20:00,0220,,
2017/1/30,20170130,上午 02:25:00,0225,,
2017/1/31,20170131,上午 02:30:00,0230,,
2017/2/1,20170201,上午 02:35:00,0235,,
2017/2/2,20170202,上午 02:40:00,0240,,
2017/2/3,20170203,上午 02:45:00,0245,,
2017/2/4,20170204,上午 02:50:00,0250,,
2017/2/5,20170205,上午 02:55:00,0255,,
2017/2/6,20170206,上午 03:00:00,0300,,
2017/2/7,20170207,上午 03:05:00,0305,,
2017/2/8,20170208,上午 03:10:00,0310,,
2017/2/9,20170209,上午 03:15:00,0315,,
2017/2/10,20170210,上午 03:20:00,0320,,
2017/2/11,20170211,上午 03:25:00,0325,,
2017/2/12,20170212,上午 03:30:00,0330,,
2017/2/13,20170213,上午 03:35:00,0335,,
2017/2/14,20170214,上午 03:40:00,0340,,
2017/2/15,20170215,上午 03:45:00,0345,,
2017/2/16,20170216,上午 03:50:00,0350,,
2017/2/17,20170217,上午 03:55:00,0355,,
2017/2/18,20170218,上午 04:00:00,0400,,
2017/2/19,20170219,上午 04:05:00,0405,,
2017/2/20,20170220,上午 04:10:00,0410,,
2017/2/21,20170221,上午 04:15:00,0415,,
2017/2/22,20170222,上午 04:20:00,0420,,
2017/2/23,20170223,上午 04:25:00,0425,,
2017/2/24,20170224,上午 04:30:00,0430,,
2017/2/25,20170225,上午 04:35:00,0435,,
2017/2/26,20170226,上午 04:40:00,0440,,
